Player,Goals,Assists,Hits,Takeaways,PIMDrawn,Season
Leon Draisaitl,13,5,26,7,7,2023-2024
Jonathan Marchessault,13,12,55,13,16,2023-2024
William Karlsson,11,6,15,24,8,2023-2024
Mark Stone,11,13,26,31,14,2023-2024
Matthew Tkachuk,11,13,58,12,28,2023-2024
Roope Hintz,10,14,30,11,2,2023-2024
Chandler Stephenson,10,10,31,17,4,2023-2024
Joe Pavelski,9,5,6,8,4,2023-2024
Sam Reinhart,8,5,44,16,6,2023-2024
Connor McDavid,8,12,30,13,16,2023-2024
